Name,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PySub,ForMode,Diet,Habitat
Pernis ptilorhynchus,55.92,13.14,15.42,413.6,49.02,1141.1,M,A,I,O
Phaenicophaeus tristis,20.01,8.75,11.58,161,37.59,139,B,B,I,F
Phoenicurus frontalis,7.27,3.01,2.94,86.2,24.4,16,G,G,I,O
Phyllergates cucullatus,9.52,2.75,2.27,48.33,20.07,6,B,M,I,F
Phylloscopus affinis,6.78,2.77,2.39,60,19.93,6,B,L,I,O
Phylloscopus cantator,7.96,3,2.53,52.75,16.34,6,T,L,I,F
Phylloscopus chloronotus,5.44,2.56,1.95,54.5,16.59,5,T,L,I,F
Phylloscopus maculipennis,5.31,2.46,1.92,50.75,17.86,5,T,L,I,F
Phylloscopus magnirostris,8.1,3.81,3.1,69.65,20.27,12,B,L,I,F
Phylloscopus pulcher,6.55,2.56,2.37,59.3,18.97,7,M,L,I,F
Phylloscopus reguloides,7.4,3.21,2.62,58.45,17.79,8,T,L,I,F
Phylloscopus xanthoschistos,7.26,2.8,2.61,56.9,19.16,7,T,L,I,F
Picumnus innominatus,10.96,4.46,4.57,59,11.49,10,M,B,I,F
Picus canus,28.3,9.65,9.35,141.5,28.95,137,M,B,I,F
Picus chlorolophus,22.55,7.6,7.6,139,23.15,67,M,B,I,F
Picus flavinucha,29,10.15,10.1,171,28.9,177,M,B,I,F
Pitta nipalensis,19.65,7.7,10.15,123,54,124,G,G,I,F
Pitta sordida,15.05,6.5,8.35,111,40.85,65,G,G,I,F
Pnoepyga albiventer,8.01,3.3,3.12,59.4,24.19,21,G,G,I,F
Pnoepyga pusilla,8.26,3.2,2.67,48.3,19.24,12,G,G,I,F
Polyplectron bicalcaratum,23.65,7.03,7.4,225,66.63,467.84,G,G,O,F
Pomatorhinus ferruginosus,18.8,3.9,6.4,89.5,33.7,40,G,G,I,F
Pomatorhinus ruficollis,15.9,3.63,6,82.5,28.55,32,G,G,I,F
