Name,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PyS.Air,PyS.Ground,PyS.TreeCanopy,PyS.Bush,PyS.MidCanopy,PyS.Stream,PyS.Riverbed,PyS.Cliff,F.Air,F.Ground,F.Fruitingbody,F.Leaf,F.Bark,F.River?,F.Water,F.Moss,F.I,F.Flower,D.Vertebrates,D.Arthropod,D.Seed/Shoot?,D.Fruit,D.Omnivore,D.Nectar,H.forest,H.open,H.water
Cochoa_purpurea,10,6,5.7,140,27.8,103,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
Myiomela_leucura,10,3.43,4.26,95.56,27.88,25,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Pycnonotus_striatus,10.06,4.89,5.34,109.75,19.72,52.5,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
Trochalopteron_imbricatum,10.2,4.58,5.63,81,29.05,40.7,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
Psittiparus_ruficeps,10.3,7.1,12.2,85,25.4,32,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Sitta_himalayensis,10.35,5.18,3.48,73,17.75,14.5,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Certhia_discolor,10.4,2.45,2.45,70.5,17.55,10.4,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Aegithina_tiphia,10.63,3.69,4.02,66.38,19.15,14.4,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
Microhierax_melanoleucos,10.83,7.85,9.46,116,23.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cholornis_unicolor,10.85,6.89,10.11,90.25,30.75,34,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0
Harpactes_wardi,10.85,7.95,10.75,161,16.7,119,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Pellorneum_ruficeps,10.9,3.4,4.85,71,27.3,26,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Niltava_grandis,10.93,5.33,5.03,104.42,25.2,30.3,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Napothera_epilepidota,10.94,3.09,3.55,54.9,22.24,16,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Picumnus_innominatus,10.96,4.46,4.57,59,11.49,10.2,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Sasia_ochracea,11,3.95,4.7,54,13.35,9.7,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Macropygia_unchall,11.08,4.26,4.97,197.55,26.31,168,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
Treron_curvirostra,11.2,5.53,7.95,140.5,21.33,134.5,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
Alophoixus_flaveolus,11.28,4.75,6.59,103.5,22.3,45.65,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
Gampsorhynchus_rufulus,11.34,5.15,6.34,98,28.01,37,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Melanochlora_sultanea,11.38,5.42,14.46,108.57,24.4,37.6,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Cochoa_viridis,11.4,6.8,5.9,142,30.2,106.75,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
Treron_sphenurus,11.58,6,6.28,178,23.33,210,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
Chalcophaps_indica,11.77,3.61,4.42,150.8,26.27,121,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0
Copsychus_malabaricus,11.82,4.2,4.95,92.5,26.14,29.35,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Pericrocotus_flammeus,12.07,5.92,6.32,107,19.48,27.7,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Cutia_nipalensis,12.15,4.7,6,94.75,34.95,47.5,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Aethopyga_gouldiae,12.2,3.2,2.3,56,14,6.125,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,0,0
Batrachostomus_hodgsoni,12.27,14.74,5.74,115.5,15.56,51,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Harpactes_erythrocephalus,12.4,8.66,10.53,153.5,17.08,80.3,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Chrysococcyx_maculatus,12.41,5.29,5.06,107.5,19.59,24,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Carpodacus_sipahi,12.55,9.84,11.73,101.5,21.41,39.5,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0
Enicurus_immaculatus,12.59,4.18,3.88,90,25.6,25.5,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Malacocincla_abbotti,12.68,4,5.8,78,26.3,29.25,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Hemixos_flavala,12.75,5.21,5.39,97.25,19.05,32.5,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
Lalage_melaschistos,12.76,6.23,6.07,118.5,21.81,43,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Columba_pulchricollis,12.98,5.6,5.68,203.08,25.37,330,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
Trochalopteron_affine,13.01,4.92,5.81,105,39.07,73,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
Cacomantis_merulinus,13.02,5.45,4.99,115.5,20.95,25.3,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Enicurus_schistaceus,13.14,4.55,4.06,100,29.11,31,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Terpsiphone_paradisi,13.42,7.05,5.07,92.53,16.49,19.25,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Trochalopteron_squamatum,13.52,5.62,7.61,103,41.43,84,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
Sitta_formosa,13.8,5,5.1,106,21.9,24.72372881,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Glaucidium_cuculoides,13.83,10.02,12.49,150.5,29.58,162.5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Trochalopteron_erythrocephalum,13.91,4.79,5.83,103,40.23,71.7,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Dicrurus_aeneus,14.01,8.14,6.13,126.1,15.38,23.1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Sitta_cinnamoventris,14.03,4.63,4.8,81.75,19.88,19.6,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,5,0,0
