AllTipsSchumm,AllSpecies_MM,Schumm_MM_DirectMatch,Extra_in_MM,Schumm_OrigNames,ChangeNameInSchumm,Final_Extra_in_MM,DownloadJetzTree
Alcedo_hercules,Blythipicus_pyrrhotis,Chalcophaps_indica,Gallus_gallus,Ianthocincla_ocellata,Garrulax_ocellatus,,Blythipicus pyrrhotis
Alcedo_meninting,Brachypteryx_montana,Chloropsis_hardwickii,Garrulax_caerulatus,Cettia_brunnescens,Horornis_brunnescens,,Brachypteryx leucophrys
Alcippe_nipalensis,Buceros_bicornis,Cinclidium_frontale,Garrulax_ocellatus,Cettia_fortipes,Horornis_fortipes,,Brachypteryx montana
Alophoixus_flaveolus,Buteo_refectus,Cissa_chinensis,Horornis_brunnescens,Hypsipetes_mcclellandi,Ixos_mcclellandii,,Buceros bicornis
Amandava_amandava,Cacomantis_merulinus,Culicicapa_ceylonensis,Horornis_fortipes,Coracina_melaschistos,Lalage_melaschistos,,Cacomantis merulinus
Anthracoceros_albirostris,Cacomantis_sonneratii,Cutia_nipalensis,Hypothymis_azurea,Heterophasia_annectans,Leioptila_annectens,,Cacomantis sonneratii
Anthus_hodgsoni,Caprodacus_sipahi,Cyornis_unicolor,Ixos_mcclellandii,Parus_spilonotus,Machlolophus_spilonotus,,Carduelis spinoides
Anthus_roseatus,Caprodacus_subhimachalus,Dendrocitta_formosae,Lalage_melaschistos,Pericrocotus_speciosus,Pericrocotus_flammeus,,Certhia discolor
Anthus_rufulus,Carpodacus_erythrinus,Dendrocitta_frontalis,Leioptila_annectens,Seicercus_castaniceps,Phylloscopus_castaniceps,,Cettia brunnescens
Apus_acuticauda,Certhia_discolor,Dendrocopos_cathpharius,Lophotriorchis_kienerii,Phylloscopus_affinis,Phylloscopus_intermedius,,Cettia brunnifrons
Apus_affinis,Cettia_castaneocoronata,Dendrocopos_darjellensis,Lophura_leucomelanos,Seicercus_poliogenys,Phylloscopus_poliogenys,,Cettia fortipes
Apus_pacificus,Chalcophaps_indica,Dicaeum_ignipectus,Machlolophus_spilonotus,Seicercus_whistleri,Phylloscopus_whistleri,,Chalcophaps indica
Arachnothera_longirostra,Chelidorhynx_hypoxanthus,Dicrurus_aeneus,Periparus_ater,Xiphirhynchus_superciliaris,Pomatorhinus_superciliaris,,Chelidorhynx hypoxantha
Arachnothera_magna,Chloropsis_hardwickii,Dicrurus_hottentottus,Periparus_rubidiventris,Megalaima_virens,Psilopogon_virens,,Chloropsis aurifrons
Artamus_fuscus,Cholornis_unicolor,Dicrurus_leucophaeus,Pernis_ptilorhynchus,Paradoxornis_ruficeps,Psittiparus_ruficeps,,Chloropsis hardwickii
Athene_brama,Chrysominla_strigula,Dicrurus_paradiseus,Mixornis_gularis,Aceros_undulatus,Rhyticeros_undulatus,,Chrysococcyx maculatus
Athene_noctua,Chrysophlegma_flavinucha,Dicrurus_remifer,Nisaetus_nipalensis,Minla_cyanouroptera,Siva_cyanouroptera,,Chrysocolaptes lucidus
Batrachostomus_hodgsoni,Cinclidium_frontale,Dryonastes_gularis,Pericrocotus_flammeus,Paradoxornis_nipalensis,Suthora_nipalensis,,Cinclidium frontale
Blythipicus_pyrrhotis,Cissa_chinensis,Ducula_badia,Phylloscopus_castaniceps,Tephrodornis_gularis,Tephrodornis_virgatus,,Cissa chinensis
Brachypteryx_hyperythra,Culicicapa_ceylonensis,Enicurus_immaculatus,Phylloscopus_fuscatus,Staphida_castaniceps,Yuhina_castaniceps,,Clamator coromandus
Brachypteryx_leucophrys,Cutia_nipalensis,Enicurus_schistaceus,Phylloscopus_intermedius,Parus_ater,Periparus_ater,,Cochoa purpurea
Brachypteryx_montana,Cyanoderma_chrysaeum,Erpornis_zantholeuca,Phylloscopus_poliogenys,Parus_rubidiventris,Periparus_rubidiventris,,Cochoa viridis
