OrigTips,NewTips,DropTips
Pycnonotus_flaviventris,Pycnonotus_flaviventris,Otus_lettia
Pycnonotus_striatus,Pycnonotus_striatus,Otus_spilocephalus
Pyrrhoplectes_epauletta,Pyrrhoplectes_epauletta,Otus_sunia
Pyrrhula_erythaca,Pyrrhula_erythaca,Paradoxornis_flavirostris
Pyrrhula_nipalensis,Pyrrhula_nipalensis,Paradoxornis_fulvifrons
Rhipidura_albicollis,Rhipidura_albicollis,Parus_ater
Rimator_malacoptilus,Rimator_malacoptilus,Parus_dichrous
Sasia_ochracea,Sasia_ochracea,Parus_major
Schoeniparus_castaneceps,Schoeniparus_castaneceps,Parus_monticolus
Sitta_cinnamoventris,Sitta_cinnamoventris,Parus_rubidiventris
Sitta_formosa,Sitta_formosa,Parus_xanthogenys
Sitta_himalayensis,Sitta_himalayensis,Passer_domesticus
Spelaeornis_caudatus,Spelaeornis_caudatus,Passer_montanus
Spelaeornis_troglodytoides,Spelaeornis_troglodytoides,Passer_rutilans
Sphenocichla_humei,Sphenocichla_humei,Pelargopsis_capensis
Stachyris_nigriceps,Stachyris_nigriceps,Pellorneum_albiventre
Surniculus_lugubris,Surniculus_lugubris,Pellorneum_tickelli
Sylviparus_modestus,Sylviparus_modestus,Pericrocotus_cinnamomeus
Terpsiphone_paradisi,Terpsiphone_paradisi,Phodilus_badius
Tesia_cyaniventer,Tesia_cyaniventer,Phoenicurus_ochruros
Tesia_olivea,Tesia_olivea,Phoenicurus_schisticeps
Tickellia_hodgsoni,Tickellia_hodgsoni,Phylloscopus_fuligiventer
Treron_curvirostra,Treron_curvirostra,Phylloscopus_trochiloides
Treron_sphenurus,Treron_sphenurus,Pica_pica
Trochalopteron_affine,Trochalopteron_affine,Picus_xanthopygaeus
Trochalopteron_erythrocephalum,Trochalopteron_erythrocephalum,Ploceus_benghalensis
Trochalopteron_imbricatum,Trochalopteron_imbricatum,Ploceus_manyar
Trochalopteron_squamatum,Trochalopteron_squamatum,Ploceus_megarhynchus
Trochalopteron_subunicolor,Trochalopteron_subunicolor,Ploceus_philippinus
Urocissa_flavirostris,Urocissa_flavirostris,Pomatorhinus_erythrogenys
Yuhina_bakeri,Yuhina_bakeri,Pomatorhinus_hypoleucos
Yuhina_flavicollis,Yuhina_flavicollis,Prinia_atrogularis
Yuhina_gularis,Yuhina_gularis,Prinia_cinereocapilla
Yuhina_nigrimenta,Yuhina_nigrimenta,Prinia_crinigera
Yuhina_occipitalis,Yuhina_occipitalis,Prinia_flaviventris
Ficedula_monileger,Anthipes_monileger,Prinia_hodgsonii
Haematospiza_sipahi,Carpodacus_sipahi,Prinia_inornata
Propyrrhula_subhimachala,Carpodacus_subhimachalus,Prinia_rufescens
Tesia_castaneocoronata,Cettia_castaneocoronata,Prinia_socialis
Chelidorhynx_hypoxantha,Chelidorhynx_hypoxanthus,Prinia_sylvatica
Paradoxornis_atrosuperciliaris,Chleuasicus_atrosuperciliaris,Prunella_collaris
Carduelis_spinoides,Chloris_spinoides,Prunella_immaculata
Paradoxornis_unicolor,Cholornis_unicolor,Prunella_rubeculoides
Minla_strigula,Chrysominla_strigula,Prunella_strophiata
Picus_flavinucha,Chrysophlegma_flavinucha,Pseudopodoces_humilis
Stachyridopsis_chrysaea,Cyanoderma_chrysaeum,Psittacula_eupatria
Stachyridopsis_ruficeps,Cyanoderma_ruficeps,Psittacula_finschii
Dicaeum_melanoxanthum,Dicaeum_melanozanthum,Psittacula_himalayana
Dicrurus_annectans,Dicrurus_annectens,Psittacula_krameri
Spelaeornis_formosus,Elachura_formosa,Psittacula_roseata
